case,problem,eval_problem,num_cores,algorithm,variant,seed,runtime_s,eval_s,feasible,makespan,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,scheduled_copy_bytes,cache_hit_rate,cache_hit_bytes,n_subgraphs,baseline_makespan,error,speedup,params,is_best,plan_path
case_006,3,3,2,capls,c3,0,0.068,0.098,True,43776,76680,76680,0,620028,0.08088220736624673,49024,4,82837,,1.8922925804093567,"{""block_cap"": 0.35, ""init"": ""contig""}",True,
case_006,3,3,2,capls,c4,0,0.042,0.073,True,64699,364344,364344,0,907692,0.3639530345773446,326404,69,82837,,1.2803443639005239,"{""block_cap"": 0.35, ""subgraph_mode"": ""block""}",False,
case_006,3,3,2,capls,c5,0,0.048,0.128,True,53637,358982,358982,0,902330,0.26275433557272826,218630,69,82837,,1.5444003206741614,"{""block_cap"": 0.35, ""init"": ""rr"", ""subgraph_mode"": ""block""}",False,
case_006,3,3,2,capls,c6,0,0.03,0.121,True,49331,364344,364344,0,907692,0.38222182576408015,342788,5,82837,,1.6792078003689364,"{""block_cap"": 0.6, ""comm_weight"": 1e-06}",False,
case_006,3,3,2,capls,c7,0,0.028,0.128,True,51396,466906,466906,0,1010254,0.3346833673521895,312198,9,82837,,1.6117402132461671,"{""block_cap"": 0.08}",False,
case_006,3,3,2,capls,c8,0,0.087,0.152,True,51606,1287648,1287648,0,1830996,0.15690457448146405,202116,15,82837,,1.6051815680347246,"{""block_cap"": 0.005}",False,
case_006,3,3,2,capls,c9,0,0.028,0.13,True,49331,364344,364344,0,907692,0.38222182576408015,342788,5,82837,,1.6792078003689364,"{""block_cap"": 0.35, ""max_ops"": 500}",False,
case_006,3,3,2,capls,c10,0,0.006,0.095,True,82837,16400,0,16400,559748,0.029275126148920052,16384,1,82837,,1.0,"{""block_cap"": 0.35, ""cores_used"": 1}",False,
case_006,3,3,2,capls,c11,0,0.03,0.13,True,49331,364344,364344,0,907692,0.38222182576408015,342788,5,82837,,1.6792078003689364,"{""block_cap"": 0.35, ""sync_weight"": 0.0}",False,
case_006,3,2,2,capls,_best,0,0.056,0.121,True,43854,76680,76680,0,620028,,,4,82837,,1.8889268937839194,"{""block_cap"": 0.35, ""init"": ""contig""}",True,results\plans\case_006_p3_n2_capls_best.json
case_006,3,3,2,capls,_best,0,0.056,0.098,True,43776,76680,76680,0,620028,0.08088220736624673,49024,4,82837,,1.8922925804093567,"{""block_cap"": 0.35, ""init"": ""contig""}",True,results\plans\case_006_p3_n2_capls_best.json
case_007,3,2,1,single,,0,0.002,0.943,True,1012562,0,0,0,1732608,,,1,1012562,,1.0,,,
case_007,3,3,1,single,,0,0.001,1.051,True,1012562,0,0,0,1732608,0.0,0,1,1012562,,1.0,,,
case_004,3,3,5,capls,c0,0,0.126,0.12,True,88341,442368,442368,0,1234944,0.0,0,5,392357,,4.441391879195391,"{""block_cap"": 0.35}",True,
case_004,3,3,5,capls,c1,0,0.112,0.12,True,88341,442368,442368,0,1234944,0.0,0,5,392357,,4.441391879195391,"{""block_cap"": 0.15}",False,
case_004,3,3,5,capls,c2,0,0.084,0.12,True,88341,442368,442368,0,1234944,0.0,0,5,392357,,4.441391879195391,"{""block_cap"": 0.35, ""init"": ""rr""}",False,
